Year,Quarter,Region,Employed,Employed Male,Employed Female,Saudi Employed,Saudi Employed Male,Saudi Employed Female,Non-Saudi Employed,Non-Saudi Employed Male,Non-Saudi Employed Female
2016,2,Al Jouf,176654,141191,35463,88626,64598,24028,88028,,
2016,1,Ar Riyad ,3355167,2753944,601223,1313657,1007562,306095,2041510,,
2016,1,Makkah,3281343,2738945,542398,1370551,1033813,336738,1910792,,
2016,1,Madinah,711601,613781,97820,337009,259179,77830,374592,,
2016,1,Al Qaseem,562169,462212,99957,282327,223547,58780,279842,,
2016,1,Eastern,2046194,1707833,338361,925518,731695,193823,1120676,,
2016,1,Aseer,676582,587572,89010,390501,329309,61192,286081,,
2016,1,Tabouk,329677,275862,53815,210918,169351,41567,118759,,
2016,1,Hail,245235,201610,43625,136081,109420,26661,109154,,
2016,1,Northern,137509,105583,31926,85880,62194,23686,51629,,
2016,1,Jazan,507578,411371,96207,313741,251259,62482,193837,,
2016,1,Najran,181807,156631,25176,97258,81879,15379,84549,,
2016,1,Al Baha,173763,140500,33263,109487,85332,24155,64276,,
2016,1,Al Jouf,176654,141191,35463,88626,64598,24028,88028,,
2015,4,Ar Riyad ,3195285,2663608,531677,1289317,979227,310090,1905968,,
2015,4,Makkah,3097949,2652839,445110,1322733,1042541,280192,1775216,,
2015,4,Madinah,663114,573172,89942,325239,263001,62238,337875,,
2015,4,Al Qaseem,546035,460413,85622,270248,215591,54657,275787,,
2015,4,Eastern,1894774,1609363,285411,884487,696560,187927,1010287,,
2015,4,Aseer,737971,629368,108603,423686,358038,65648,314285,,
2015,4,Tabouk,335404,267027,68377,208718,156741,51977,126686,,
2015,4,Hail,252006,210208,41798,144217,116777,27440,107789,,
2015,4,Northern,136774,105331,31443,83399,59282,24117,53375,,
2015,4,Jazan,500840,414391,86449,321455,258090,63365,179385,,
2015,4,Najran,182385,158630,23755,98744,84455,14289,83641,,
2015,4,Al Baha,174220,129802,44418,113428,76892,36536,60792,,
2015,4,Al Jouf,195452,152990,42462,105892,76942,28950,89560,,
2015,3,Ar Riyad ,3195285,2663608,531677,1289317,979227,310090,1905968,,
2015,3,Makkah,3097949,2652839,445110,1322733,1042541,280192,1775216,,
2015,3,Madinah,663114,573172,89942,325239,263001,62238,337875,,
2015,3,Al Qaseem,546035,460413,85622,270248,215591,54657,275787,,
2015,3,Eastern,1894774,1609363,285411,884487,696560,187927,1010287,,
2015,3,Aseer,737971,629368,108603,423686,358038,65648,314285,,
2015,3,Tabouk,335404,267027,68377,208718,156741,51977,126686,,
2015,3,Hail,252006,210208,41798,144217,116777,27440,107789,,
2015,3,Northern,136774,105331,31443,83399,59282,24117,53375,,
2015,3,Jazan,500840,414391,86449,321455,258090,63365,179385,,
2015,3,Najran,182385,158630,23755,98744,84455,14289,83641,,
2015,3,Al Baha,174220,129802,44418,113428,76892,36536,60792,,
2015,3,Al Jouf,195452,152990,42462,105892,76942,28950,89560,,
2015,2,Ar Riyad ,3195285,2663608,531677,1289317,979227,310090,1905968,,
2015,2,Makkah,3097949,2652839,445110,1322733,1042541,280192,1775216,,
2015,2,Madinah,663114,573172,89942,325239,263001,62238,337875,,
2015,2,Al Qaseem,546035,460413,85622,270248,215591,54657,275787,,
2015,2,Eastern,1894774,1609363,285411,884487,696560,187927,1010287,,
2015,2,Aseer,737971,629368,108603,423686,358038,65648,314285,,
2015,2,Tabouk,335404,267027,68377,208718,156741,51977,126686,,
2015,2,Hail,252006,210208,41798,144217,116777,27440,107789,,
2015,2,Northern,136774,105331,31443,83399,59282,24117,53375,,
2015,2,Jazan,500840,414391,86449,321455,258090,63365,179385,,
2015,2,Najran,182385,158630,23755,98744,84455,14289,83641,,
2015,2,Al Baha,174220,129802,44418,113428,76892,36536,60792,,
